day_str,region_std,outage_prob,outage_likely,pred_start_h,time_window,temp_max,rh_max
2026-08-12,جهة الجنوب,0.823,True,12,12:00 – 14:00,33.6,82
2026-08-12,جهة تونس الكبرى,0.458,False,12,—,37.8,93
2026-08-12,جهة صفاقس,0.458,False,12,—,36.1,95
2026-08-12,جهة الجنوب الغربي,0.352,False,12,—,40.1,48
2026-08-12,جهة الشمال,0.306,False,12,—,34.8,91
2026-08-12,جهة الوسط,0.306,False,12,—,40.4,93
2026-08-12,جهة الشمال الغربي,0.288,False,12,—,42.2,67
2026-08-13,جهة الجنوب,0.872,True,13,13:00 – 15:00,34.7,85
2026-08-13,جهة تونس الكبرى,0.604,True,1,01:00 – 03:00,35.2,89
2026-08-13,جهة صفاقس,0.604,True,1,01:00 – 03:00,35.7,87
2026-08-13,جهة الشمال,0.442,False,1,—,32.6,88
2026-08-13,جهة الوسط,0.428,False,13,—,40.0,75
2026-08-13,جهة الشمال الغربي,0.362,False,13,—,41.5,54
2026-08-13,جهة الجنوب الغربي,0.348,False,13,—,41.2,38
2026-08-14,جهة الجنوب,0.939,True,1,01:00 – 03:00,32.0,86
2026-08-14,جهة الجنوب الغربي,0.859,True,15,15:00 – 17:00,39.0,56
2026-08-14,جهة تونس الكبرى,0.761,True,1,01:00 – 03:00,34.2,94
2026-08-14,جهة الشمال الغربي,0.761,True,1,01:00 – 03:00,38.9,90
2026-08-14,جهة الوسط,0.761,True,15,15:00 – 17:00,38.0,87
2026-08-14,جهة صفاقس,0.761,True,1,01:00 – 03:00,33.2,94
2026-08-14,جهة الشمال,0.745,True,1,01:00 – 03:00,31.9,93
2026-08-15,جهة الجنوب,0.896,True,1,01:00 – 03:00,31.1,81
2026-08-15,جهة الجنوب الغربي,0.889,True,16,16:00 – 18:00,39.8,71
2026-08-15,جهة صفاقس,0.809,True,1,01:00 – 03:00,32.5,90
2026-08-15,جهة تونس الكبرى,0.761,True,1,01:00 – 03:00,34.7,95
2026-08-15,جهة الشمال الغربي,0.761,True,1,01:00 – 03:00,36.7,82
2026-08-15,جهة الوسط,0.761,True,1,01:00 – 03:00,35.9,93
2026-08-15,جهة الشمال,0.645,True,1,01:00 – 03:00,32.0,98
2026-08-16,جهة الشمال,0.939,True,1,01:00 – 03:00,35.5,90
2026-08-16,جهة الجنوب الغربي,0.911,True,16,16:00 – 18:00,41.5,59
2026-08-16,جهة صفاقس,0.905,True,1,01:00 – 03:00,33.1,82
2026-08-16,جهة الجنوب,0.884,True,1,01:00 – 03:00,35.1,84
2026-08-16,جهة تونس الكبرى,0.809,True,1,01:00 – 03:00,38.0,84
2026-08-16,جهة الشمال الغربي,0.761,True,1,01:00 – 03:00,37.4,90
2026-08-16,جهة الوسط,0.761,True,1,01:00 – 03:00,38.0,76
2026-08-17,جهة صفاقس,0.797,True,13,13:00 – 15:00,33.3,86
2026-08-17,جهة الجنوب,0.685,True,12,12:00 – 14:00,35.4,85
2026-08-17,جهة الجنوب الغربي,0.61,True,12,12:00 – 14:00,42.1,51
2026-08-17,جهة تونس الكبرى,0.447,False,13,—,35.3,91
2026-08-17,جهة الشمال,0.447,False,13,—,33.7,97
2026-08-17,جهة الشمال الغربي,0.447,False,13,—,38.2,95
2026-08-17,جهة الوسط,0.426,False,13,—,37.9,85
2026-08-18,جهة الجنوب,0.806,True,11,11:00 – 13:00,36.4,84
2026-08-18,جهة صفاقس,0.797,True,12,12:00 – 14:00,34.3,90
2026-08-18,جهة الجنوب الغربي,0.693,True,11,11:00 – 13:00,41.1,66
2026-08-18,جهة تونس الكبرى,0.447,False,11,—,39.6,95
2026-08-18,جهة الشمال,0.447,False,12,—,39.6,99
2026-08-18,جهة الشمال الغربي,0.447,False,12,—,39.1,74
2026-08-18,جهة الوسط,0.447,False,12,—,37.8,89
