day,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,precipitation_sum,et0_fao_evapotranspiration,governorate,type,zones,reports_down,reports_up,reports_total
2026-07-23,40.6,26.8,33.1,69,20,11.4,0.0,6.86,Ariana,electricity,159.0,184,206.0,184
2026-07-23,43.3,26.1,33.7,50,13,16.4,0.0,7.57,Beja,,,0,,0
2026-07-23,40.1,27.0,32.6,60,19,14.1,0.0,6.85,Ben Arous,electricity,74.0,81,104.0,81
2026-07-23,35.7,25.9,30.9,75,33,17.2,0.0,7.04,Bizerte,electricity,15.0,16,27.0,16
2026-07-23,39.3,28.9,35.0,85,25,16.7,0.0,7.92,Gabes,,,0,,0
2026-07-23,46.3,29.3,38.6,24,5,21.3,0.0,9.13,Gafsa,electricity,1.0,1,1.0,1
2026-07-23,46.3,25.2,34.4,72,8,18.6,0.0,7.48,Jendouba,electricity,0.0,0,1.0,0
2026-07-23,45.6,27.6,36.0,51,8,14.3,0.0,7.13,Kairouan,electricity,6.0,6,5.0,6
2026-07-23,42.8,26.2,35.6,23,5,17.4,0.0,8.04,Kasserine,electricity,6.0,6,1.0,6
2026-07-23,47.4,30.3,39.9,46,5,18.7,0.0,10.31,Kebili,,,0,,0
2026-07-23,42.3,26.9,33.4,40,6,25.8,0.0,9.35,Kef,,,0,,0
2026-07-23,36.4,26.2,31.8,84,42,20.6,0.0,6.79,Mahdia,electricity,7.0,7,11.0,7
2026-07-23,43.4,25.6,33.9,68,16,11.6,0.0,6.73,Manouba,electricity,27.0,29,38.0,29
2026-07-23,47.6,29.3,38.1,30,6,26.8,0.0,8.98,Medenine,,,0,,0
2026-07-23,37.5,27.1,32.3,83,42,17.8,0.0,6.76,Monastir,electricity,6.0,6,16.0,6
2026-07-23,35.1,26.5,31.4,73,36,13.0,0.0,6.57,Nabeul,electricity,22.0,22,41.0,22
2026-07-23,39.4,27.3,33.8,59,28,12.4,0.0,7.13,Sfax,electricity,79.0,83,79.0,83
2026-07-23,46.3,27.5,36.9,35,4,21.3,0.0,8.16,Sidi Bouzid,electricity,1.0,1,5.0,1
2026-07-23,44.1,28.1,35.8,35,7,24.2,0.0,9.2,Siliana,electricity,3.0,3,0.0,3
2026-07-23,38.5,26.8,32.9,76,35,15.5,0.0,6.84,Sousse,electricity,26.0,27,24.0,27
2026-07-23,46.5,33.5,39.6,18,5,29.4,0.0,10.46,Tataouine,electricity,6.0,6,2.0,6
2026-07-23,47.3,32.9,40.4,28,6,18.8,0.0,10.21,Tozeur,electricity,2.0,2,0.0,2
2026-07-23,42.6,26.8,33.9,68,17,10.3,0.0,6.57,Tunis,electricity,61.0,73,95.0,73
2026-07-23,44.4,26.2,34.5,60,10,19.2,0.0,7.0,Zaghouan,electricity,1.0,1,6.0,1
2026-07-24,37.4,27.2,31.4,70,22,16.2,0.0,7.62,Ariana,electricity,68.0,76,120.0,76
2026-07-24,37.3,25.4,31.1,86,21,18.0,0.0,7.66,Beja,,,0,,0
2026-07-24,36.7,27.3,31.0,75,29,17.6,0.0,7.39,Ben Arous,electricity,52.0,55,76.0,55
2026-07-24,33.1,26.9,29.7,78,45,23.7,0.0,7.01,Bizerte,electricity,7.0,7,14.0,7
2026-07-24,36.2,30.8,33.4,63,12,21.9,0.0,7.94,Gabes,,,0,,0
2026-07-24,45.5,29.6,37.5,44,5,21.7,0.0,9.3,Gafsa,electricity,1.0,0,1.0,0
2026-07-24,40.7,25.4,33.1,64,19,14.8,0.0,7.47,Jendouba,electricity,0.0,0,2.0,0
2026-07-24,42.1,28.4,34.3,56,18,18.5,0.0,7.82,Kairouan,electricity,3.0,3,2.0,3
2026-07-24,41.6,26.4,34.5,42,8,20.1,0.0,8.94,Kasserine,electricity,3.0,3,1.0,3
2026-07-24,47.1,32.7,38.9,37,6,38.8,0.0,9.54,Kebili,,,0,,0
2026-07-24,37.2,24.0,30.8,55,19,17.2,0.0,7.3,Kef,,,0,,0
2026-07-24,36.0,27.5,31.2,85,36,22.4,0.0,7.43,Mahdia,electricity,8.0,8,11.0,8
2026-07-24,38.5,27.2,32.2,70,20,17.1,0.0,7.96,Manouba,electricity,15.0,15,36.0,15
2026-07-24,40.2,30.0,34.9,62,18,23.7,0.0,9.86,Medenine,,,0,,0
2026-07-24,35.2,28.3,31.1,86,41,18.3,0.0,7.13,Monastir,electricity,2.0,2,16.0,2
2026-07-24,36.9,26.5,31.3,75,21,28.3,0.0,9.25,Nabeul,electricity,24.0,24,31.0,24
2026-07-24,40.2,28.9,33.2,66,24,19.2,0.1,7.99,Sfax,electricity,61.0,66,96.0,66
2026-07-24,45.0,28.2,35.4,54,6,23.3,0.7,8.42,Sidi Bouzid,electricity,0.0,0,1.0,0
2026-07-24,39.8,25.1,32.4,52,18,18.6,0.0,8.02,Siliana,electricity,3.0,0,0.0,0
2026-07-24,37.1,27.8,31.9,83,32,17.1,0.0,7.64,Sousse,electricity,19.0,21,14.0,21
2026-07-24,41.3,30.1,36.2,45,9,22.9,0.0,10.32,Tataouine,electricity,1.0,1,4.0,1
2026-07-24,48.1,33.3,40.6,39,5,30.3,0.0,9.44,Tozeur,electricity,2.0,2,1.0,2
2026-07-24,38.6,27.4,32.0,69,20,14.4,0.0,7.55,Tunis,electricity,19.0,23,51.0,23
2026-07-24,39.3,26.3,31.5,68,19,20.4,0.0,8.07,Zaghouan,electricity,2.0,2,6.0,2
2026-07-25,37.9,25.8,31.5,82,35,16.1,0.0,6.97,Ariana,electricity,1612.0,3264,2855.0,3264
2026-07-25,42.7,22.4,32.1,78,12,14.9,0.0,6.93,Beja,,,0,,0
2026-07-25,37.2,23.9,30.7,87,37,18.0,0.0,7.05,Ben Arous,electricity,1385.0,2147,2004.0,2147
2026-07-25,36.7,25.8,31.2,86,41,23.8,0.0,7.3,Bizerte,electricity,570.0,641,602.0,641
2026-07-25,34.5,28.7,31.6,75,49,20.9,0.0,7.09,Gabes,,,0,,0
2026-07-25,41.9,26.2,34.2,78,16,13.1,0.0,7.86,Gafsa,electricity,63.0,70,85.0,70
2026-07-25,44.7,24.5,33.8,51,12,13.8,0.0,6.86,Jendouba,electricity,50.0,55,87.0,55
2026-07-25,41.8,25.9,33.6,79,21,18.6,0.0,7.79,Kairouan,electricity,25.0,26,52.0,26
2026-07-25,39.5,24.6,32.6,64,15,21.7,0.4,7.6,Kasserine,electricity,59.0,60,74.0,60
2026-07-25,45.5,28.4,36.2,58,10,30.3,0.0,9.92,Kebili,,,0,,0
2026-07-25,41.3,23.5,32.3,42,9,19.5,0.0,7.7,Kef,,,0,,0
2026-07-25,33.4,24.8,29.7,86,50,23.8,0.0,6.53,Mahdia,electricity,203.0,216,293.0,216
2026-07-25,39.4,24.3,31.8,87,31,16.7,0.0,7.13,Manouba,electricity,854.0,1424,1128.0,1424
2026-07-25,40.9,26.5,32.9,78,19,23.2,0.0,8.58,Medenine,,,0,,0
2026-07-25,35.6,25.4,30.9,83,43,25.3,0.1,7.1,Monastir,electricity,233.0,270,453.0,270
2026-07-25,31.4,24.8,28.4,85,57,25.0,0.0,5.97,Nabeul,electricity,532.0,571,934.0,571
